종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
한샘,"39,200",상승 250,+0.64%,"32,827","1,272","9,225"
파라다이스,"9,840",하락 20,-0.20%,"320,779","3,127","9,115"
롯데칠성,"97,500",보합 0,0.00%,"20,063","1,945","9,047"
지역난방공사,"74,800",보합 0,0.00%,"12,401",922,"8,661"
HS효성첨단소재,"171,600",하락 900,-0.52%,"13,850","2,377","7,688"
에스디바이오센서,"6,100",하락 80,-1.29%,"219,612","1,340","7,366"
영풍,"39,400",하락 500,-1.25%,"38,294","1,498","7,254"
OCI,"80,500",하락 100,-0.12%,"24,791","1,990","7,207"
대한유화,"106,300","하락 4,000",-3.63%,"97,743","10,475","6,910"
TKG휴켐스,"16,610",상승 90,+0.54%,"79,714","1,317","6,790"
미원에스씨,"133,800",상승 500,+0.38%,"2,793",371,"6,690"
대상,"18,640",상승 80,+0.43%,"128,993","2,406","6,458"
동원시스템즈,"21,650",상승 450,+2.12%,"35,785",759,"6,277"
미원상사,"133,000","상승 3,800",+2.94%,"5,879",769,"5,985"
한화머시너리앤서비스홀딩스,"6,530",하락 330,-4.81%,"2,959,367","19,611","5,519"
아세아,"226,500","상승 25,500",+12.69%,"4,303",922,"4,663"
세아제강지주,"106,400",하락 300,-0.28%,"25,493","2,707","4,407"
코스모화학,"11,040",상승 190,+1.75%,"133,983","1,450","4,240"
